start,end,text
1.26,5.66,"안녕하세요. 문태칼 러시물렉션을 주제로 발표 시작하겠습니다."
5.66,8.86,"저희는 문태칼 러시물렉션을 이용한"
8.86,11.86,"게임 밸런쌍에 대해서 알아보자 합니다."
11.86,15.26,"발표 선선은 이 주제를 선정할 게 본기와"
15.26,17.66,"문태칼 러시물렉션이라는 무엇인가?"
17.66,21.66,"또한 이 주제에 대해 너무 영구한 너무에 대해 살펴보고"
21.66,25.46,"이 너무 밸런쌍, 하는 데 한계점에 대해서 알아보겠습니다."
25.46,27.26,"먼저 주제 선정도입니다."
27.26,35.86,"2020년 전시에서 러시물렉션을 전시해본 경험입니다."
35.86,38.18,"하지만 전시의 맞춰서 기가 알아보니"
38.18,43.26,"유니스의 밸런쌍에 서사 문사선 문제가 있다는 것을 발견하지 못해."
43.26,46.66,"한쪽 플레이어가 유리하게 되는 상황이 발생하였습니다."
46.66,50.70,"이 경험을 통해서 유일 때와 전략이 대한 모든 게임 이런 점을"
50.70,54.26,"자동으로 할 수 있지 않을까 하는 생각이 들었고"
54.26,58.02,"이번 데이터 기간 철역화석정 문태칼 러시물렉션에 대해"
58.02,63.10,"조사할 기회롭게 되어 자동 밸런쌍 관련 연구를 조사해 보았습니다."
63.10,66.70,"먼저 문태칼 러시물렉션에 대해서 알아보겠습니다."
66.70,69.18,"문태칼 러시물렉션의 정리는"
69.18,72.78,"브럭시란 유소가 있는 문제에서 무장의 난출을 반복 생성해"
72.78,77.42,"수업적 홍렬과 결과의 품포를 근사적으로 기사하는 것을 바랍니다."
77.42,79.74,"대표적인 일시로 사진을 보이는 것처럼"
79.74,85.10,"원주일 값을 근사하거나 적분을 값을 근사한 등 다양한 곳에 환영될 수 있습니다."
85.10,88.30,"정인을 듣고 바로 이해가 안 가실 수 있는데"
88.30,91.18,"같은 상황을 여러분 부작이로 신험해서"
91.18,96.18,"결과와 특체로 어떻게 나오는지 근사하는 방법이라고 생각하시면 됩니다."
96.18,99.21,"첫 번째 너무나도 뭐가 있습니다."
99.21,102.03,"이 너무너무 타워지 펜스 게임을 대상으로"
102.03,105.10,"선택할 러시물렉션을 사용한"
105.10,110.94,"MCTS의 예전 트레용의 자동으로 게임의 밸런스를 조정한 방법을 계답니다."
110.94,115.50,"그래서 MCTS란 원택칼 러 탐색트리의 약자로"
115.50,120.66,"원택칼 러시물렉션과 탐색트리의 알고리점을 응용한 것입니다."
120.66,123.78,"기존의 탐색트리 러시물렉션을 게임을 일용하려면"
123.78,128.02,"전체 결과를 하나하나 확인을 하면서 최적해를 찾아야 한다면"
128.02,132.18,"MCTS는 원택칼 러시물렉션을 이용한 무장의 선택을 통해"
132.18,134.74,"핸동을 결정하고 게임을 끝까지 진행한 것을"
134.74,137.62,"충분히 반복하는 방식을 사용합니다."
137.62,141.78,"충분히 반복된 MCTS는 어떤 요소가 좋은지"
141.78,144.26,"근사일 수 있으며 이 방식을 사용해"
144.26,148.89,"게임을 플레이하도록 하는 것이 MCTS의 예전트입니다."
148.89,152.73,"이 용보에서는 UCT라는 트레이 선택 알고리점을"
152.73,156.17,"통한 MCTS의 예전 트레에 신만 번을 플레이를"
156.17,160.65,"미리 학습하고 최근 노촌번에 핸동을 기록 트레이처장한 상태로 시작하겠습니다."
160.65,163.77,"MCTS의 예전트키래의 게임을 반복 플레이하며"
163.77,166.01,"홍동 기록을 기록 트레이처장하고"
166.01,169.05,"각 저장된 각 행동의 승률 영향도를"
169.05,170.25,"근사해 있네요."
170.25,172.17,"영향의 큰 행동의 능력치를 낮추는"
172.17,176.57,"번식으로 조절해 승률 똑같이 만드는 방식을 사용했습니다."
176.57,180.57,"그 결과 디자이너가 미리 자든 밸런스를 기반으로 한"
180.57,184.49,"일본 실험에서는 불균형을 정확히 도추를 하고"
184.49,188.57,"그 수성을 낮추면서 승률을 비슷하게"
188.57,191.45,"근사한 것을 알 수 있습니다."
191.45,197.19,"두번째 실험의 모작이로 밸런스를 한 실험에서는"
197.19,201.00,"똑같이 불균형을 도추라고 승률을"
201.00,203.72,"근사해야지만 일본 실험보다 더 많은 수정을"
203.72,210.09,"거쳐 수정한 승률을 근사함을 할 수 있습니다."
210.09,214.86,"다음으로 설명할 글로벌은 알피스"
214.86,216.78,"실시간 전약 계획에서 더동으로"
216.78,221.70,"공연신된 세 유리스의 생성하는 그런 요구입니다."
221.70,225.46,"전체적인 구조는 이제 랜덤을 유니스의 생성하고"
225.46,229.46,"MCTS 보쁠이 라운드 원과 라운드 털어나면서"
229.46,233.22,"강렁더단 10번씩 조수로 번을 대전을"
233.22,236.38,"시켜서 피트니스를 계산하고"
236.38,240.06,"그 후에 스탬스를 증감시키거나 능력을 끝이하는 식으로"
240.06,242.38,"유니스를 생성해서"
242.38,246.38,"유니들도 마찬가지로 피트니스를 계산을 합니다."
246.38,249.58,"그 다음에 더 높은 피트니스에 유지했으며"
249.58,251.58,"그걸로 교체를 하고 이걸 반복해서"
251.58,254.06,"더 나온 유지 없으면 현재 유니스를"
254.06,257.02,"바나나는 방식으로 진행됩니다."
257.02,260.62,"이제 이 논문에서는 이 방식으로 진행을 해서"
260.62,263.82,"검색기반 절차적 콘텐츠 생성과"
263.82,266.78,"MCTS로 알피스 게임에서"
266.78,270.62,"벨러시우된 유니스의 자동으로 생성할 수 있다는 걸"
270.62,273.91,"입증했습니다."
273.91,278.23,"여기서 MCS가 활용된 번식을 좀 더 자세히 보면"
278.23,281.27,"MCTS는 평가음소로 활용이 되었는데"
281.27,286.31,"유용성 측정과 기녕성 측성을 위해서 사용되었습니다."
286.31,288.34,"먼저 나온 또 원해서"
288.34,291.14,"한 조금만 새 유니스를 사용을 해서"
291.14,294.04,"보세요, 승리를 확인한으로써"
294.04,298.36,"유니스 엘망을 유용지를 극정하게 됩니다."
298.36,301.72,"여기에 나와있는 공식을 통해서 점수를 계산하면"
301.72,304.44,"승리 기어도가 높고 풍조시간이"
